lat,lng,location
38.9517053,-92.3340724,"Columbia, MO, USA"
37.8715226,-122.273042,"Berkeley, CA, USA"
37.8715226,-122.273042,"Berkeley, California, USA"
42.3732216,-72.5198537,"Amherst, MA, USA"
42.2808256,-83.7430378,"Ann Arbor, MI, USA"
33.748752,-84.38768449999999,"Atlanta, GA, USA"
40.1856597,-75.451571,"Collegeville, PA, USA"
25.7491968,-80.2635411,"Coral Gables, FL, USA"
37.3229978,-122.0321823,"Cupertino, CA, USA"
38.5449065,-121.7405167,"Davis, CA, USA"
43.30330559999999,-91.7857092,"Decorah, IA, USA"
41.1408363,-73.2612615,"Fairfield,CT, USA"
41.1408363,-73.2612615,"Fairfield, CT, USA"
47.9252568,-97.0328547,"Grand Fork, ND, USA"
44.5133188,-88.0132958,"Green Bay, WI, USA"
34.0966764,-117.7197785,"Claremont, CA, USA"
34.0966764,-117.7197785,"Claremont, California, USA"
39.6444898,-86.8647316,"Greencastle, IN, USA"
42.3600825,-71.0588801,"Boston, MA, USA"
43.7022451,-72.2895526,"Hanover, NH, USA"
38.4495688,-78.8689155,"Harrisonburg, VA, USA"
42.3736158,-71.10973349999999,"Cambridge, MA, USA"
30.267153,-97.7430608,"Austin, TX, USA."
30.267153,-97.7430608,"Austin, TX, USA"
40.4842027,-88.99368729999999,"Bloomington, IL, USA"
39.165325,-86.52638569999999,"Bloomington, IN, USA"
38.2526647,-85.7584557,"Louisville, KY, USA"
41.308274,-72.9278835,"New Haven, CT, USA"
33.5778631,-101.8551665,"Lubbock, TX, USA"
41.7001908,-86.23793280000001,"Notre Dame, IN, USA"
37.8043514,-122.2711639,"Oakland, CA, USA"
37.886704,-122.2977557,"Albany, CA, USA"
42.6525793,-73.7562317,"Albany, NY, USA"
36.171563,-115.1391009,"Las Vegas, NV, USA"
39.6837226,-75.74965720000002,"Newark, DE, USA"
43.0721661,-89.4007501,"Madison, WI, USA"
42.3370413,-71.20922139999999,"Newton, MA, USA"
40.5142026,-88.9906312,"Normal, IL, USA"
41.2939386,-82.21737859999999,"Oberlin, OH, USA"
33.7879139,-117.8531007,"Orange, CA, USA"
40.3572976,-74.6672226,"Princeton, NJ, USA"
45.4215296,-75.69719309999999,"Ottawa, ON, Canada"
47.6062095,-122.3320708,"Seattle, WA, USA"
40.0149856,-105.2705456,"Boulder, CO, USA"
41.8239891,-71.4128343,"Providence, RI, USA"
46.7297771,-117.1817377,"Pullman, WA, USA"
37.7272727,-89.2167501,"Carbondale, IL, USA"
25.7616798,-80.1917902,"Miami, FL, USA"
41.5623209,-72.6506488,"Middletown, CT, USA"
40.0506453,-77.5202647,"Shippensburg, PA, USA"
40.7489277,-74.2609903,"South Orange, NJ, USA"
37.42410599999999,-122.1660756,"Stanford, CA, USA"
43.0389025,-87.9064736,"Milwaukee, WI, USA"
44.977753,-93.2650108,"Minneapolis, MN, USA"
34.0625106,-118.1228476,"Monterey Park, CA, USA"
39.629526,-79.95589679999999,"Morgantown, WV, USA"
46.73238749999999,-117.0001651,"Moscow, ID, USA"
41.6528052,-83.5378674,"Toledo, OH, USA"
43.653226,-79.3831843,"Toronto, ON, Canada"
36.1626638,-86.7816016,"Nashville, TN, USA"
33.4503998,-88.81838719999999,"Starkville, MS, USA"
34.0522342,-118.2436849,"Los Angeles, CA, USA"
40.7933949,-77.8600012,"State College, PA, USA"
30.4382559,-84.28073289999999,"Tallahassee, FL, USA"
35.8456213,-86.39027,"Murfreesboro, TN, USA"
35.0843859,-106.650422,"Albuquerque, NM, USA"
44.4582983,-93.161604,"Northfield, MN, United States"
39.9525839,-75.1652215,"Philadelphia, PA, USA"
27.950575,-82.4571776,"Tampa, FL, USA"
39.4014955,-76.6019125,"Towson, MD, USA"
40.7607793,-111.8910474,"Salt Lake City, UT, USA"
42.3764852,-71.2356113,"Waltham, MA, USA"
34.6834382,-82.8373654,"Clemson, SC, USA"
34.6834382,-82.8373654,"Clemson, South Carolina, USA"
38.9071923,-77.0368707,"Washington, D.C., USA"
43.1339545,-70.9264393,"Durham, NH, USA"
35.9940329,-78.898619,"Durham, NC, USA"
38.9071923,-77.0368707,"Washington, DC, USA"
38.5925524,-90.3573389,"Webster Groves, MO, USA"
37.2707022,-76.7074571,"Williamsburg, VA, USA"
36.09985959999999,-80.244216,"Winston-Salem, NC, USA"
42.0450722,-87.68769689999999,"Evanston, IL, USA"
42.97218609999999,-85.95402179999999,"Allendale Charter Twp, MI, USA"
33.9519347,-83.357567,"Athens, GA, USA"
39.3292396,-82.1012554,"Athens, OH, USA"
32.715738,-117.1610838,"San Diego, CA, USA"
32.6098566,-85.48078249999999,"Auburn, AL, USA"
44.4758825,-73.21207199999999,"Burlington, VT, USA"
41.49932,-81.6943605,"Cleveland, OH, USA"
34.0007104,-81.0348144,"Columbia, SC, USA"
38.403903,-96.1816626,"Emporia, KS, USA"
42.4184296,-71.1061639,"Medford, MA, USA"
45.5196767,-123.1121017,"Forest Grove, OR, USA"
40.5852602,-105.084423,"Fort Collins, CO, USA"
29.6516344,-82.32482619999999,"Gainesville, FL, USA"
40.94781580000001,-90.3712395,"Galesburg, IL, USA"
40.3759296,-82.397183,"Gambier, OH, USA"
49.2827291,-123.1207375,"Vancouver, BC, Canada"
46.0645809,-118.3430209,"Walla Walla, WA, USA"
42.2625932,-71.8022934,"Worcester, MA, USA"
42.795896,-77.816947,"Geneseo, NY, USA"
34.1425078,-118.255075,"Glendale, CA, USA"
47.12113309999999,-88.5694182,"Houghton, MI, USA"
41.6578257,-91.5346169,"Iowa City, IA, USA"
42.3250896,-72.64120129999999,"Northampton, MA, USA"
28.5383832,-81.3789269,"Orlando, FL, USA"
44.8831125,-68.6719411,"Orono, ME, USA"
39.5069974,-84.74523099999999,"Oxford, OH, USA"
37.13179239999999,-80.5764477,"Radford, VA, USA"
40.6936488,-89.5889864,"Peoria, IL, USA"
35.7795897,-78.6381787,"Raleigh, NC, USA"
40.44062479999999,-79.9958864,"Pittsburgh, PA, USA"
45.515232,-122.6783853,"Portland, OR, USA"
39.529919,-119.8142691,"Reno, NV, USA"
37.5407246,-77.4360481,"Richmond, VA, USA"
43.15657789999999,-77.6088465,"Rochester, NY, USA"
37.7749295,-122.4194155,"San Francisco, CA, USA"
29.8832749,-97.9413941,"San Marcos, TX, USA"
44.2619309,-88.41538469999999,"Appleton, WI, USA"
35.5950581,-82.5514869,"Asheville, NC, USA"
43.2136713,-77.9391797,"Brockport, NY, USA"
49.2488091,-122.9805104,"Burnaby, BC, Canada"
35.2827524,-120.6596156,"San Luis Obispo, CA, USA"
51.04473309999999,-114.0718831,"Calgary, AB, Canada"
46.1367899,-60.19422399999999,"Sydney, NS, Canada"
35.9131996,-79.0558445,"Chapel Hill, NC, USA"
36.216795,-81.6745517,"Boone, NC, USA"
39.7284944,-121.8374777,"Chico, CA, USA"
43.0484029,-75.3785034,"Clinton, NY, USA"
42.3222599,-83.17631449999999,"Dearborn, MI, USA"
35.1982836,-111.651302,"Flagstaff, AZ, USA"
40.7674987,-73.833079,"Flushing, NY, USA"
26.640628,-81.8723084,"Fort Myers, FL, USA"
36.1156071,-97.0583681,"Stillwater, OK, USA"
39.9020565,-75.3499123,"Swarthmore, PA, USA"
45.9635895,-66.6431151,"Fredericton, NB, Canada"
39.70289229999999,-75.1118422,"Glassboro, NJ, USA"
35.612661,-77.3663538,"Greenville, NC, USA"
44.8857087,-63.1005273,"Halifax, NS, Canada"
33.4555279,-88.7903868,"Mississippi State, MS, United States"
38.57670170000001,-92.1735164,"Jefferson City, MO, USA"
36.313439700000004,-82.3534727,"Johnson City, TN, USA"
35.2225668,-97.4394777,"Norman, OK, USA"
36.0726354,-79.7919754,"Greensboro, NC, USA"
31.3271189,-89.29033919999999,"Hattiesburg, MS, USA"
42.09868669999999,-75.91797380000001,"Binghamton, NY, USA"
40.2731911,-76.8867008,"Harrisburg, PA, USA"
37.6687665,-122.0809964,"Hayward, CA, USA"
41.1536674,-81.3578859,"Kent, OH, USA"
29.7604267,-95.3698028,"Houston, TX, USA"
42.4439614,-76.5018807,"Ithaca, NY, USA"
41.3113669,-105.5911007,"Laramie, WY, USA"
40.813616,-96.7025955,"Lincoln, NE, USA"
41.7369803,-111.8338359,"Logan, UT, USA"
33.4151843,-111.8314724,"Mesa, AZ, USA"
40.1933767,-85.3863599,"Muncie, IN, USA"
36.6103334,-88.31476099999999,"Murray, KY, USA"
38.2009055,-84.87328350000001,"Frankfort, KY, USA"
39.4961458,-88.1761521,"Charleston, IL, USA"
40.688432,-75.2207323,"Easton, PA, USA"
41.4333909,-96.4981467,"Fremont, NE, USA"
36.7377981,-119.7871247,"Fresno, CA, USA"
43.2557206,-79.8711024,"Hamilton, ON, Canada"
21.3098845,-157.85814010000001,"Honolulu, HI, USA"
40.2338438,-111.6585337,"Provo, UT, USA"
39.768403,-86.158068,"Indianapolis, IN, USA"
41.0400135,-73.7144477,"Purchase, NY, USA"
45.5579451,-94.1632404,"St. Cloud, MN, USA"
38.6270025,-90.1994042,"St. Louis, MO, USA"
38.9716689,-95.2352501,"Lawrence, KS, USA"
41.6612104,-72.7795419,"New Britain, CT, USA"
40.4592076,-90.6717971,"Macomb, IL, USA"
42.2711311,-89.0939952,"Rockford, IL, USA"
34.4208305,-119.6981901,"Santa Barbara, CA, USA"
37.3541079,-121.9552356,"Santa Clara, CA, USA"
36.9741171,-122.0307963,"Santa Cruz, CA, USA"
42.8142432,-73.9395687,"Schenectady, NY, USA"
40.44062479999999,-79.9958864,"Pittsburgh, PA USA"
44.6994873,-73.4529124,"Plattsburgh, NY, USA"
40.7282239,-73.7948516,"Queens, NY, USA"
39.78172130000001,-89.6501481,"Springfield, IL, USA"
44.38935559999999,-79.6903316,"Barrie, ON, CAN"
30.4514677,-91.1871466,"Baton Rouge, LA, USA"
43.1593745,-79.2468626,"St. Catharines, ON, Canada"
39.7674578,-94.846681,"St. Joseph, MO, USA"
41.8781136,-87.6297982,"Chicago, IL, USA"
42.97218609999999,-85.95402179999999,"Allendale Charter Township, MI, USA"
41.1370133,-77.4469263,"Lock Haven, PA, USA"
33.7700504,-118.1937395,"Long Beach, CA, USA"
41.7475933,-74.0868095,"New Paltz, NY, USA"
42.88644679999999,-78.8783689,"Buffalo, NY, USA"
40.1164204,-88.2433829,"Champaign-Urbana, IL, USA"
40.5795317,-74.1502007,"Staten Island, NY, USA"
39.0473451,-95.6751576,"Topeka, KS, USA"
36.1539816,-95.992775,"Tulsa, OK, USA"
30.8327022,-83.2784851,"Valdosta, GA, USA"
31.549333,-97.1466695,"Waco, TX, USA"
46.23824,-63.13107040000001,"Charlottetown, PEI, Canada"
41.8994744,-87.9403418,"Elmhurst, IL, USA"
40.2599864,-74.79091249999999,"Ewing, NJ, USA"
33.8703645,-117.9242123,"Fullerton, CA, USA"
41.74340919999999,-92.7232456,"Grinnell, IA, USA"
41.7658043,-72.6733723,"Hartford, CT, USA"
34.3668299,-89.51863499999999,"Oxford, MS, USA"
39.4667034,-87.41390919999999,"Terre Haute, IN, USA"
41.8661403,-88.1070127,"Wheaton, IL, USA"
34.2103894,-77.8868117,"Wilmington, NC, USA"
42.7284117,-73.69178509999999,"Troy, NY, USA"
40.0375832,-75.3491813,"Villanova, PA, USA"
42.97218609999999,-85.95402179999999,"Allendale, MI, USA"
43.3789694,-84.66023539999999,"Alma, MI, USA"
43.3789694,-84.66023539999999,"Alma, MI , USA"
32.735687,-97.1080656,"Arlington, TX, USA"
38.4192496,-82.44515400000002,"Huntington, WV, USA"
30.2240897,-92.0198427,"Lafayette, LA, USA"
44.100351,-70.21477639999999,"Lewiston, ME, USA"
38.9071923,-77.0368707,"Washington, D.C, USA"
49.8954221,-97.1385145,"Winnipeg, MB, Canada"
46.8721284,-113.9940314,"Missoula, MT, USA"
44.4582983,-93.161604,"Northfield, MN, USA"
34.055103,-117.7499909,"Pomona, CA, USA"
41.7003713,-73.9209701,"Poughkeepsie, NY, USA"
39.9525839,-75.1652215,"Philadelphia, PA USA"
38.8114364,-89.95315699999999,"Edwardsville, IL, USA"
40.1528719,-76.6027455,"Elizabethtown, PA, USA"
42.12922409999999,-80.085059,"Erie, PA, USA"
44.0520691,-123.0867536,"Eugene, OR, USA"
64.8400511,-147.7199756,"Fairbanks, AK, USA"
64.8400511,-147.7199756,"Fairbanks, Alaska, USA"
38.3396367,-122.7010984,"Rohnert Park, California, USA"
38.74389439999999,-77.2405153,"Fairfax County, VA, USA"
37.3020965,-78.3919401,"Farmville, VA, USA"
36.0626579,-94.1605839,"Fayetteville, AR, USA"
35.0526641,-78.87835849999999,"Fayetteville, NC, USA"
42.279286,-71.4161565,"Framingham, MA, USA"
38.3031837,-77.4605399,"Fredericksburg, VA, USA"
42.4400576,-79.3317105,"Fredonia, NY, USA"
45.5018869,-73.56739189999999,"Montreal, QC, Canada"
42.2808256,-83.7430378,"Ann Arbor, Mi, USA"
42.9633599,-85.6680863,"Grand Rapids, MI, USA"
40.06811920000001,-82.51960369999999,"Granville, OH, USA"
40.4233142,-104.7091322,"Greeley, CO, USA"
40.7127753,-74.0059728,"New York City, NY, USA"
43.5448048,-80.24816659999999,"Guelph, ON, Canada"
38.0405837,-84.5037164,"Lexington, KY, USA"
39.6444898,-86.8647316,"Greencastle, IN USA"
41.3838782,-72.9026064,"Hamden, CT, USA"
42.9647806,-78.67752930000002,"Harris Hill, NY, USA"
41.7658043,-72.6733723,"Hartford, CT. USA"
45.4765446,-75.7012723,"Gatineau, QC, Canada"
40.7062128,-73.6187397,"Hempstead, NY, USA"
40.7062128,-73.6187397,"Hempstead, NY USA"
41.3580484,-93.5574376,"Indianola, IA, USA"
40.7127753,-74.0059728,"New York City, NY USA"
33.6845673,-117.8265049,"Irvine, CA, USA"
30.3321838,-81.65565099999999,"Jacksonville, FL, USA"
30.3321838,-81.65565099999999,"Jacksonville, FL USA"
39.0997265,-94.5785667,"Kansas City, MO, USA"
42.933692,-72.2781409,"Keene, NH, USA"
41.48037910000001,-71.52255980000001,"Kingston, RI, USA"
32.6098566,-85.48078249999999,"Auburn, Alabama, USA"
30.267153,-97.7430608,"Austin,TX, USA"
38.5815719,-121.4943996,"Sacramento, CA, USA"
32.715738,-117.1610838,"San Diego, CA USA"
42.3875968,-71.0994968,"Somerville, MA, USA"
37.8715226,-122.273042,"Berekely, CA, USA"
27.5158689,-97.856109,"Kingsville, TX, USA"
43.8137751,-91.2519017,"La Crosse, WI, USA"
32.8328112,-117.2712717,"La Jolla, CA, USA"
42.09868669999999,-75.91797380000001,"Binghamton, New York, USA"
42.09868669999999,-75.91797380000001,"Binghampton, New York, USA"
33.9022367,-118.081733,"Norwalk, CA, USA"
47.2528768,-122.4442906,"Tacoma, WA, USA"
32.2539787,-110.9741769,"Tucson, AZ, USA"
34.5199402,-105.8700901,"Northfield, NM, USA"
48.4284207,-123.3656444,"Victoria, BC, Canada"
32.3199396,-106.7636538,"Las Cruces, NM, USA"
34.1477849,-118.1445155,"Pasadena, CA, USA"
44.0247062,-88.5426136,"Oshkosh, WI, USA"
41.2565369,-95.9345034,"Omaha, NE, USA"
34.055103,-117.7499909,"Pomona, California, USA"
45.5018869,-73.56739189999999,"Montreal. QC, Canada"
42.8621042,-112.4506191,"Pocatello, ID, USA"
47.0378741,-122.9006951,"Olympia, WA, USA"
46.8737648,-96.7678039,"Moorhead, MN, USA"
44.4758825,-73.21207199999999,"Burlington, Vermont, USA"
36.6103334,-88.31476099999999,"Murray, KY USA"
40.4862157,-74.4518188,"New Brunswick, NJ, USA"
18.4670588,-66.1184593,"San Juan, PR, USA"
29.95106579999999,-90.0715323,"New Orleans, LA, USA"
40.735657,-74.1723667,"Newark, NJ, USA"
42.6011813,-76.1804843,"Cortland, NY, USA"
45.4215296,-75.69719309999999,"Ottawa, ON, CAN"
40.2283371,-74.9322596,"Newtown, PA, USA"
41.788489,-72.2292913,"Mansfield, CT, USA"
36.9685219,-86.4808043,"Bowling Green, KY, USA"
41.3747744,-83.6513229,"Bowling Green, OH, USA"
41.3747744,-83.6513229,"Bowling Green, Ohio, USA"
48.4276054,-71.0600102,"Saguenay, QC, Canada"
29.4251905,-98.4945922,"San Antonio, TX, USA"
43.5375937,-83.984501,"University Center, MI, USA"
40.8147955,-77.86531260000001,"University Park, PA, USA"
41.0748188,-73.77513259999999,"Valhalla, NY, USA"
30.0932737,-95.9877339,"Prairie View, TX, USA"
44.015337100000004,-73.16734,"Middlebury, Vermont, USA"
52.157902,-106.6701577,"Saskatoon, SK, Canada"
45.4042669,-71.89367399999999,"Sherbrooke, QC, Canada"
48.4284207,-123.3656444,"Victoria, BC, CA"
44.4758825,-73.21207199999999,"Burlington, Vermont, United States"
51.04473309999999,-114.0718831,"Calgary, AB, CAN"
42.5348993,-92.4453161,"Cedar Falls, IA, USA"
47.4873895,-117.5757622,"Cheney, WA, USA"
43.7764258,-79.2317521,"Scarborough, ON, Canada"
41.0639506,-80.0564468,"Slippery Rock, PA, USA"
41.6763545,-86.25198979999999,"South Bend, IN, USA"
34.1336186,-117.9075627,"Azusa, CA, USA"
39.2903848,-76.6121893,"Baltimore, MD, USA"
32.4487876,-81.7831674,"Statesboro, GA, USA"
41.5868353,-93.6249593,"Des Moines, IA, USA"
42.331427,-83.0457538,"Detroit, MI, USA"
44.811349,-91.4984941,"Eau Claire, WI, USA"
41.87422249999999,-80.1317236,"Edinboro, PA, USA"
26.3017374,-98.1633432,"Edinburg, TX, USA"
35.6528323,-97.47809540000002,"Edmond, OK, USA"
43.4642578,-80.5204096,"Waterloo, ON, Canada"
42.296797,-71.29238769999999,"Wellesley, MA, USA"
39.9606643,-75.6054882,"West Chester, PA, USA"
38.3396367,-122.7010984,"Rohnert Park, CA, USA"
44.9537029,-93.0899578,"St. Paul, MN, USA"
37.9577016,-121.2907796,"Stockton, CA, USA"
33.8358492,-118.3406288,"Torrance, CA, USA"
37.4945743,-120.8459786,"Turlock, CA, USA"
41.2705484,-72.9469711,"West Haven, CT, USA"
40.2903891,-74.0176381,"West Long Branch, NJ, USA"
42.27823730000001,-71.15997569999999,"West Roxbury, MA, USA"
41.8084314,-72.24952309999999,"Storrs, CT, USA"
41.8239891,-71.4128343,"Providence, Rhode Island, USA"
34.4726276,-81.88065619999999,"Clinton, SC, USA"
33.4483771,-112.0740373,"Phoenix, AZ, USA"
30.627977,-96.3344068,"College Station, TX, USA"
53.5460983,-113.4937266,"Edmonton, AB, Canada"
38.8338816,-104.8213634,"Colorado Springs, CO, USA"
37.2709704,-79.9414266,"Roanoke, VA, USA"
33.9806005,-117.3754942,"Riverside, CA, USA"
46.8130816,-71.20745959999999,"Québec City, QC, CAN"
50.4452112,-104.6188944,"Regina, SK, Canada"
36.9759345,-82.5757108,"Wise, VA, USA"
44.5645659,-123.2620435,"Corvallis, OR, USA"
32.7766642,-96.7969879,"Dallas, TX, USA"
41.0997803,-80.6495194,"Youngstown, OH, USA"
42.2411499,-83.61299389999999,"Ypsilanti, MI, USA"
39.529919,-119.8142691,"Reno, Nevada, USA"
41.8939617,-87.81984779999999,"River Forest, IL, USA"
29.2108147,-81.0228331,"Daytona Beach, FL, USA"
39.7589478,-84.1916069,"Dayton, OH, USA"
41.9295355,-88.74991279999999,"DeKalb, IL, USA"
34.0522342,-118.2436849,"Los Angeles, California, USA"
48.2342362,-79.01878359999999,"Rouyn-Noranda, QC, Canada"
45.6814733,-111.0319925,"Bozeman, MT, USA"
46.5436199,-87.3953713,"Marquette, MI, USA"
45.2107513,-123.1944874,"McMinnville, OR, USA"
35.1495343,-90.0489801,"Memphis, TN, USA"
33.916475,-117.9002918,"Brea, CA, USA"
40.0149856,-105.2705456,"Boulder, Colorado, USA"
46.23824,-63.13107040000001,"Charlottetown, PE, Canada"
40.2010241,-77.20027449999999,"Carlisle, PA, USA"
49.3237408,-117.6593341,"Castlegar, BC, CA"
35.2270869,-80.8431267,"Charlotte, NC, USA"
44.5439375,-73.1479068,"Colchester, VT, USA"
38.0293059,-78.47667810000002,"Charlottesville, VA, USA"
38.0293059,-78.47667810000002,"Charlottesville, VA , USA"
38.18724040000001,-76.4343173,"St. Mary's City, MD, USA"
37.3021632,-120.4829677,"Merced, CA, USA"
41.5278742,-73.12761069999999,"Middlebury, CT, USA"
43.30330559999999,-91.7857092,"Decorah, Iowa, USA"
53.5460983,-113.4937266,"Edmonton, AB, USA"
32.4487364,-99.73314390000002,"Abilene, TX, USA"
42.3328668,-71.1727583,"Chestnut Hill, MA, USA"
45.5018869,-73.56739189999999,"Montreal, QC, Quebec"
42.2808256,-83.7430378,"Ann Arbor, Michigan, USA"
39.7392358,-104.990251,"Denver, CO, USA"
42.7369792,-84.48386540000001,"East Lansing, MI, USA"
38.403903,-96.1816626,"Emporia, KA, USA"
36.0626579,-94.1605839,"Fayetteville, AK, USA"
32.7554883,-97.3307658,"Fort Worth, TX, USA"
44.015337100000004,-73.16734,"Middlebury, VT, USA"
33.8536269,-118.1339563,"Lakewood, CA, USA"
34.7444618,-92.2880157,"Little Rock, AR, USA"
41.8781136,-87.6297982,"Chicago, IL USA"
42.7875235,-86.1089301,"Holland, MI, USA"
30.7235263,-95.5507771,"Huntsville, TX, USA"
39.0331169,-84.4518854,"Highland Heights, KY, USA"
37.4137536,-79.14224639999999,"Lynchburg, VA, USA"
39.18360819999999,-96.5716694,"Manhattan, KS, USA"
41.5623209,-72.6506488,"Middletown, Connecticut, USA"
33.7700504,-118.1937395,"Long Beach. CA, USA"
40.5852602,-105.084423,"Fort Collins, Colorado, USA"
40.0149856,-105.2705456,"Boulder, CO, US"
39.9978764,-76.3541274,"Millersville, PA, USA"
44.8755183,-91.9193422,"Menomonie, WI, USA"
37.2295733,-80.4139393,"Blacksburg, VA, USA"
33.2148412,-97.1330683,"Denton, TX, USA"
27.7676008,-82.64029149999999,"St. Petersburg, FL, USA"
42.6430359,-95.2019399,"Storm Lake, IA, USA"
40.1164204,-88.2433829,"Champaign, IL, USA"
42.73416,-90.4784621,"Platteville, WI, USA"
43.4642578,-80.5204096,"Waterloo, ON, CA"
39.109724,-95.0877465,"Tonganoxie, KS, USA"
43.653226,-79.3831843,"Toronto, ON, CA"
40.6781784,-73.9441579,"Brooklyn, NY, USA"
33.7879139,-117.8531007,"Orange,  CA, USA"
33.4918203,-80.8556476,"Orangeburg, SC, USA"
40.2968979,-111.6946475,"Orem, UT, USA"
40.1266689,-82.9318807,"Westerville, OH, USA"
49.2827291,-123.1207375,"Vancouver, BC Canada"
45.8802909,-72.4842824,"Drummondville, QC, CAN"
31.3271189,-89.29033919999999,"Hattiesburg, MS, US"
48.4117537,-71.255071,"Jonquière, QC, Canada"
40.9114271,-90.6473576,"Monmouth, IL, USA"
45.6397183,-73.8439099,"Sainte-Thérèse, QC, Canada"
44.8484524,-123.2339888,"Monmouth, OR, USA"
40.8259007,-74.2090053,"Montclair, NJ, USA"
46.8130816,-71.20745959999999,"Quebec City, QC, Canada"
39.165325,-86.52638569999999,"Bloomington, Indiana, USA"
48.4120843,-71.05110789999999,"Chicoutimi, QC, Canada"
45.5135059,-73.4329187,"Longueuil, QC, Canada"
46.0556724,-71.95895589999999,"Victoriaville, QC, Canada"
38.440429,-122.7140548,"Santa Rosa, CA, USA"
45.6066487,-73.712409,"Laval, QC, Canada"
42.680588,-83.1338214,"Rochester, MI, USA"
43.5890452,-79.6441198,"Mississauga, ON, Canada"
38.5779555,-122.9888319,"Sonoma County, CA, USA"
41.4475686,-71.524667,"South Kingstown, RI, USA"
