pub,uni
AGW-NYT-ENG,"State University of New York, Buffalo"
The-Columbia-Chronicle,Columbia College Chicago
College-Heights-Herald,Western Kentucky University
The-Iowa-State-Daily,Iowa State University
Concordia-University---The-Link,Concordia University
Concordia-University---The-Concordian,Concordia University
The-Varsity,University of Toronto
McGill-University---The-Daily,McGill University
University-of-Guelph---The-Ontarion,University of Guelph
York-University---Excalibur,York University
Ryerson-University---The-Ryersonian,Ryerson University
University-of-Manitoba---The-Manitoban,University of Manitoba
McGill-University---The-Tribune,McGill University
The-Medium,University of Toronto Mississauga
Charlatan,Carleton University
University-of-Victoria---The-Martlet,University of Victoria
University-of-Ottawa---Fulcrum,University of Ottawa
The-Ubyssey,University of British Columbia
Ryerson-University---The-Eyeopener,Ryerson University
ThePeak,Simon Fraser University
University-of-Saksa---The-Sheaf,University of Saksa
McMaster-University---The-Silhouette,McMaster University
Dalhousie-University---Dalhousie-Gazette,Dalhousie University
University-of-Alberta----The-Gateway,University of Alberta
University-of-Calgary----The-Guantlet,University of Calgary
University-of-Waterloo---Imprint,University of Waterloo
University-of-Prince-Edward-Island---The-Cadre,University of Prince Edward Island
University-of-Toronto---Ultravires,University of Toronto
Morgan-State-University,Morgan State University
West-Virginia-State-University_The-Yellow-Jacket,West Virginia State University
North-Carolina-A-_-T-State-University_The-A_T-Register,North Carolina A-T State University
Tennessee-State-University_The-Meter,Tennessee State University
Fayetteville-State-University-The-Voice,Fayetteville State University
Winston-Salem-State-University_The-News-Argus,Winston-Salem State University
Saint-Augustine_s-University_The-Pen,Saint Augustineâ€™s University
